"Product","SubCategory","Category","OrderDate","SalesAmount","Freight","Country","City","PostalCode"
"Road-750 Black, 52","Road Bikes","Bikes","2015-02-28 00:00:00","539.9900","13.4998","Germany","Saarlouis","66740"
"Road-750 Black, 48","Road Bikes","Bikes","2015-02-28 00:00:00","539.9900","13.4998","France","Roubaix","59100"
"Road-750 Black, 48","Road Bikes","Bikes","2015-02-28 00:00:00","539.9900","13.4998","United Kingdom","London","SW8 4BG"
"Touring-1000 Blue, 60","Touring Bikes","Bikes","2015-02-28 00:00:00","2384.0700","59.6018","Australia","Geelong","3220"
"Touring-3000 Blue, 62","Touring Bikes","Bikes","2015-02-28 00:00:00","742.3500","18.5588","Australia","Lavender Bay","2060"
"Road-350-W Yellow, 42","Road Bikes","Bikes","2015-02-28 00:00:00","1700.9900","42.5248","France","Paris","75007"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-28 00:00:00","2294.9900","57.3748","United Kingdom","Cheltenham","GL50"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-02-28 00:00:00","2319.9900","57.9998","United Kingdom","Billericay","CM11"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-28 00:00:00","2294.9900","57.3748","United Kingdom","Bury","PE17"
"Mountain-500 Silver, 52","Mountain Bikes","Bikes","2015-02-28 00:00:00","564.9900","14.1248","United States","Los Angeles","90012"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-28 00:00:00","2294.9900","57.3748","United States","Mill Valley","94941"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-02-28 00:00:00","2319.9900","57.9998","Canada","Royal Oak","V8X"
"Touring-3000 Blue, 58","Touring Bikes","Bikes","2015-02-28 00:00:00","742.3500","18.5588","Germany","Frankfurt","60323"
"Touring-1000 Yellow, 46","Touring Bikes","Bikes","2015-02-28 00:00:00","2384.0700","59.6018","United Kingdom","London","W10 6BL"
"Touring-1000 Yellow, 46","Touring Bikes","Bikes","2015-02-28 00:00:00","2384.0700","59.6018","United Kingdom","Liverpool","L4 4HB"
"Touring-2000 Blue, 60","Touring Bikes","Bikes","2015-02-28 00:00:00","1214.8500","30.3713","France","Paris","75009"
"Road-350-W Yellow, 48","Road Bikes","Bikes","2015-02-28 00:00:00","1700.9900","42.5248","Australia","Coffs Harbour","2450"
"Road-350-W Yellow, 42","Road Bikes","Bikes","2015-02-28 00:00:00","1700.9900","42.5248","Australia","Rhodes","2138"
"Road-550-W Yellow, 40","Road Bikes","Bikes","2015-02-28 00:00:00","1120.4900","28.0123","Australia","Gold Coast","4217"
"Road-550-W Yellow, 44","Road Bikes","Bikes","2015-02-28 00:00:00","1120.4900","28.0123","Australia","Port Macquarie","2444"
"Road-250 Black, 52","Road Bikes","Bikes","2015-02-28 00:00:00","2443.3500","61.0838","Australia","Port Macquarie","2444"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-28 00:00:00","2294.9900","57.3748","Australia","Hawthorne","4171"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-02-28 00:00:00","2319.9900","57.9998","Australia","South Melbourne","3205"
"Touring-1000 Yellow, 60","Touring Bikes","Bikes","2015-02-28 00:00:00","2384.0700","59.6018","United States","Woodland Hills","91364"
"Touring-1000 Blue, 60","Touring Bikes","Bikes","2015-02-28 00:00:00","2384.0700","59.6018","United States","Oakland","94611"
"Touring-1000 Blue, 46","Touring Bikes","Bikes","2015-02-28 00:00:00","2384.0700","59.6018","United States","Chula Vista","91910"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-02-28 00:00:00","1700.9900","42.5248","United States","Novato","94947"
"Touring-1000 Blue, 50","Touring Bikes","Bikes","2015-02-28 00:00:00","2384.0700","59.6018","Germany","Hof","95010"
"Mountain-400-W Silver, 42","Mountain Bikes","Bikes","2015-02-28 00:00:00","769.4900","19.2373","Australia","Rockhampton","4700"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-27 00:00:00","2294.9900","57.3748","Germany","Berlin","14197"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-27 00:00:00","2294.9900","57.3748","United States","Santa Monica","90401"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-02-27 00:00:00","2319.9900","57.9998","United States","West Covina","91791"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-27 00:00:00","2294.9900","57.3748","Canada","Langley","V3A 4R2"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-02-27 00:00:00","2294.9900","57.3748","United States","Burlingame","94010"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-02-27 00:00:00","2294.9900","57.3748","United States","Olympia","98501"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-02-27 00:00:00","2319.9900","57.9998","United States","Berkeley","94704"
"Touring-3000 Yellow, 54","Touring Bikes","Bikes","2015-02-27 00:00:00","742.3500","18.5588","United Kingdom","Oxon","OX16 8RS"
"Road-350-W Yellow, 42","Road Bikes","Bikes","2015-02-27 00:00:00","1700.9900","42.5248","Australia","Milsons Point","2061"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-02-27 00:00:00","1700.9900","42.5248","Australia","Springwood","2777"
"Road-550-W Yellow, 44","Road Bikes","Bikes","2015-02-27 00:00:00","1120.4900","28.0123","Australia","North Sydney","2055"
"Road-550-W Yellow, 40","Road Bikes","Bikes","2015-02-27 00:00:00","1120.4900","28.0123","Australia","Melton","3337"
"Road-250 Black, 52","Road Bikes","Bikes","2015-02-27 00:00:00","2443.3500","61.0838","Australia","Gold Coast","4217"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-02-27 00:00:00","2294.9900","57.3748","Australia","Findon","5023"
"Touring-3000 Yellow, 44","Touring Bikes","Bikes","2015-02-27 00:00:00","742.3500","18.5588","United States","El Cajon","92020"
"Touring-1000 Yellow, 50","Touring Bikes","Bikes","2015-02-27 00:00:00","2384.0700","59.6018","United States","Ballard","98107"
"Touring-1000 Yellow, 60","Touring Bikes","Bikes","2015-02-27 00:00:00","2384.0700","59.6018","United States","Bremerton","98312"
"Touring-1000 Yellow, 54","Touring Bikes","Bikes","2015-02-27 00:00:00","2384.0700","59.6018","United States","El Cajon","92020"
"Touring-1000 Blue, 46","Touring Bikes","Bikes","2015-02-27 00:00:00","2384.0700","59.6018","Canada","Newton","V2M1P1"
"Road-750 Black, 58","Road Bikes","Bikes","2015-02-27 00:00:00","539.9900","13.4998","United States","Olympia","98501"
"Road-350-W Yellow, 48","Road Bikes","Bikes","2015-02-27 00:00:00","1700.9900","42.5248","Canada","Oak Bay","V8P"
"Road-750 Black, 44","Road Bikes","Bikes","2015-02-27 00:00:00","539.9900","13.4998","United Kingdom","Woolston","WA1 4SY"
"Road-750 Black, 48","Road Bikes","Bikes","2015-02-27 00:00:00","539.9900","13.4998","France","Villeneuve-d'Ascq","59491"
"Touring-2000 Blue, 54","Touring Bikes","Bikes","2015-02-27 00:00:00","1214.8500","30.3713","Australia","Hawthorne","4171"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-02-26 00:00:00","2294.9900","57.3748","Germany","Darmstadt","64283"
"Mountain-500 Black, 48","Mountain Bikes","Bikes","2015-02-26 00:00:00","539.9900","13.4998","United Kingdom","London","W10 6BL"
"Road-250 Black, 52","Road Bikes","Bikes","2015-02-26 00:00:00","2443.3500","61.0838","Germany","M?hlheim","63151"
"Mountain-500 Silver, 48","Mountain Bikes","Bikes","2015-02-26 00:00:00","564.9900","14.1248","United Kingdom","Warrington","WA3 7BH"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-02-26 00:00:00","2294.9900","57.3748","United States","Burlingame","94010"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-02-26 00:00:00","2319.9900","57.9998","United States","La Jolla","92806"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-26 00:00:00","2294.9900","57.3748","United States","Concord","94519"
"Touring-3000 Yellow, 50","Touring Bikes","Bikes","2015-02-26 00:00:00","742.3500","18.5588","Germany","Bonn","53001"
"Touring-3000 Blue, 62","Touring Bikes","Bikes","2015-02-26 00:00:00","742.3500","18.5588","France","Croix","59170"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-02-26 00:00:00","1700.9900","42.5248","Australia","Melbourne","3000"
"Road-350-W Yellow, 42","Road Bikes","Bikes","2015-02-26 00:00:00","1700.9900","42.5248","Australia","Findon","5023"
"Road-350-W Yellow, 44","Road Bikes","Bikes","2015-02-26 00:00:00","1700.9900","42.5248","Australia","Hervey Bay","4655"
"Road-550-W Yellow, 48","Road Bikes","Bikes","2015-02-26 00:00:00","1120.4900","28.0123","Australia","Melton","3337"
"Road-550-W Yellow, 48","Road Bikes","Bikes","2015-02-26 00:00:00","1120.4900","28.0123","Australia","Goulburn","2580"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-02-26 00:00:00","2319.9900","57.9998","Australia","Silverwater","2264"
"Touring-3000 Blue, 62","Touring Bikes","Bikes","2015-02-26 00:00:00","742.3500","18.5588","United States","Seattle","98104"
"Road-750 Black, 48","Road Bikes","Bikes","2015-02-26 00:00:00","539.9900","13.4998","United States","Downey","90241"
"Road-750 Black, 44","Road Bikes","Bikes","2015-02-26 00:00:00","539.9900","13.4998","United States","Downey","90241"
"Road-750 Black, 44","Road Bikes","Bikes","2015-02-26 00:00:00","539.9900","13.4998","United States","Redwood City","94063"
"Road-350-W Yellow, 42","Road Bikes","Bikes","2015-02-26 00:00:00","1700.9900","42.5248","United States","Lake Oswego","97034"
"Road-750 Black, 58","Road Bikes","Bikes","2015-02-26 00:00:00","539.9900","13.4998","Germany","Berlin","12171"
"Touring-1000 Yellow, 50","Touring Bikes","Bikes","2015-02-26 00:00:00","2384.0700","59.6018","United Kingdom","Newcastle upon Tyne","NT20"
"Touring-1000 Yellow, 60","Touring Bikes","Bikes","2015-02-26 00:00:00","2384.0700","59.6018","Australia","North Sydney","2055"
"Road-250 Black, 44","Road Bikes","Bikes","2015-02-25 00:00:00","2443.3500","61.0838","Australia","Wollongong","2500"
"Road-350-W Yellow, 48","Road Bikes","Bikes","2015-02-25 00:00:00","1700.9900","42.5248","France","Verrieres Le Buisson","91370"
"Mountain-400-W Silver, 46","Mountain Bikes","Bikes","2015-02-25 00:00:00","769.4900","19.2373","Germany","Paderborn","33098"
"Mountain-400-W Silver, 42","Mountain Bikes","Bikes","2015-02-25 00:00:00","769.4900","19.2373","France","Verrieres Le Buisson","91370"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-02-25 00:00:00","2319.9900","57.9998","United Kingdom","York","Y024 1GF"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-02-25 00:00:00","2294.9900","57.3748","France","Orly","94310"
"Mountain-400-W Silver, 38","Mountain Bikes","Bikes","2015-02-25 00:00:00","769.4900","19.2373","Canada","Langley","V3A 4R2"
"Mountain-500 Black, 48","Mountain Bikes","Bikes","2015-02-25 00:00:00","539.9900","13.4998","United States","Issaquah","98027"
"Mountain-500 Silver, 48","Mountain Bikes","Bikes","2015-02-25 00:00:00","564.9900","14.1248","United States","Tacoma","98403"
"Road-550-W Yellow, 42","Road Bikes","Bikes","2015-02-25 00:00:00","1120.4900","28.0123","Australia","Sunbury","3429"
"Road-250 Black, 48","Road Bikes","Bikes","2015-02-25 00:00:00","2443.3500","61.0838","Australia","Springwood","2777"
"Touring-1000 Yellow, 54","Touring Bikes","Bikes","2015-02-25 00:00:00","2384.0700","59.6018","Canada","Calgary","T2P 2G8"
"Touring-1000 Blue, 54","Touring Bikes","Bikes","2015-02-25 00:00:00","2384.0700","59.6018","United States","Spokane","99202"
"Road-750 Black, 58","Road Bikes","Bikes","2015-02-25 00:00:00","539.9900","13.4998","United States","Palo Alto","94303"
"Road-550-W Yellow, 40","Road Bikes","Bikes","2015-02-25 00:00:00","1120.4900","28.0123","United States","Woodburn","97071"
"Road-550-W Yellow, 42","Road Bikes","Bikes","2015-02-25 00:00:00","1120.4900","28.0123","France","Les Ulis","91940"
"Road-750 Black, 58","Road Bikes","Bikes","2015-02-25 00:00:00","539.9900","13.4998","United Kingdom","Billericay","CM11"
"Road-750 Black, 52","Road Bikes","Bikes","2015-02-25 00:00:00","539.9900","13.4998","Germany","Frankfurt am Main","60075"
"Touring-1000 Yellow, 46","Touring Bikes","Bikes","2015-02-25 00:00:00","2384.0700","59.6018","Australia","Port Macquarie","2444"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-02-24 00:00:00","2294.9900","57.3748","Germany","Solingen","42651"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-02-24 00:00:00","2319.9900","57.9998","United Kingdom","London","E17 6JF"
"Mountain-500 Black, 48","Mountain Bikes","Bikes","2015-02-24 00:00:00","539.9900","13.4998","Germany","Solingen","42651"
"Road-350-W Yellow, 48","Road Bikes","Bikes","2015-02-24 00:00:00","1700.9900","42.5248","United Kingdom","Newcastle upon Tyne","NT20"
"Road-350-W Yellow, 44","Road Bikes","Bikes","2015-02-24 00:00:00","1700.9900","42.5248","Germany","Erlangen","91054"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-02-24 00:00:00","1700.9900","42.5248","France","Chatou","78400"
"Road-250 Black, 52","Road Bikes","Bikes","2015-02-24 00:00:00","2443.3500","61.0838","United Kingdom","Oxford","OX14 4SE"
"Road-250 Black, 48","Road Bikes","Bikes","2015-02-24 00:00:00","2443.3500","61.0838","United Kingdom","Warrington","WA3 7BH"
"Mountain-400-W Silver, 40","Mountain Bikes","Bikes","2015-02-24 00:00:00","769.4900","19.2373","Germany","Ingolstadt","85049"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-24 00:00:00","2294.9900","57.3748","United Kingdom","Oxford","OX1"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-02-24 00:00:00","2294.9900","57.3748","Germany","Solingen","42651"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-24 00:00:00","2294.9900","57.3748","Germany","Solingen","42651"
"Mountain-400-W Silver, 46","Mountain Bikes","Bikes","2015-02-24 00:00:00","769.4900","19.2373","United States","Puyallup","98371"
"Mountain-400-W Silver, 40","Mountain Bikes","Bikes","2015-02-24 00:00:00","769.4900","19.2373","United States","Novato","94947"
"Mountain-500 Silver, 40","Mountain Bikes","Bikes","2015-02-24 00:00:00","564.9900","14.1248","United States","Chula Vista","91910"
"Mountain-500 Silver, 40","Mountain Bikes","Bikes","2015-02-24 00:00:00","564.9900","14.1248","United States","Portland","97205"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-02-24 00:00:00","2319.9900","57.9998","United States","Bremerton","98312"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-24 00:00:00","2294.9900","57.3748","United States","Burlingame","94010"
"Touring-2000 Blue, 54","Touring Bikes","Bikes","2015-02-24 00:00:00","1214.8500","30.3713","France","Paris","75002"
"Touring-1000 Blue, 54","Touring Bikes","Bikes","2015-02-24 00:00:00","2384.0700","59.6018","France","Tremblay-en-France","93290"
"Touring-1000 Yellow, 50","Touring Bikes","Bikes","2015-02-24 00:00:00","2384.0700","59.6018","France","Colombes","92700"
"Road-550-W Yellow, 40","Road Bikes","Bikes","2015-02-24 00:00:00","1120.4900","28.0123","Australia","Goulburn","2580"
"Road-250 Red, 58","Road Bikes","Bikes","2015-02-24 00:00:00","2443.3500","61.0838","Australia","Brisbane","4000"
"Road-250 Red, 58","Road Bikes","Bikes","2015-02-24 00:00:00","2443.3500","61.0838","Australia","South Melbourne","3205"
"Touring-1000 Yellow, 46","Touring Bikes","Bikes","2015-02-24 00:00:00","2384.0700","59.6018","United States","Bellflower","90706"
"Road-550-W Yellow, 38","Road Bikes","Bikes","2015-02-24 00:00:00","1120.4900","28.0123","United States","Imperial Beach","91932"
"Road-550-W Yellow, 42","Road Bikes","Bikes","2015-02-24 00:00:00","1120.4900","28.0123","United Kingdom","York","YO15"
"Touring-1000 Yellow, 46","Touring Bikes","Bikes","2015-02-24 00:00:00","2384.0700","59.6018","Australia","South Melbourne","3205"
"Touring-1000 Yellow, 60","Touring Bikes","Bikes","2015-02-24 00:00:00","2384.0700","59.6018","Australia","Port Macquarie","2444"
"Touring-1000 Yellow, 50","Touring Bikes","Bikes","2015-02-24 00:00:00","2384.0700","59.6018","Australia","Coffs Harbour","2450"
"Touring-1000 Blue, 50","Touring Bikes","Bikes","2015-02-24 00:00:00","2384.0700","59.6018","Australia","Townsville","4810"
"Touring-3000 Yellow, 44","Touring Bikes","Bikes","2015-02-24 00:00:00","742.3500","18.5588","Australia","Rhodes","2138"
"Mountain-500 Silver, 44","Mountain Bikes","Bikes","2015-02-23 00:00:00","564.9900","14.1248","United Kingdom","London","SW8 4BG"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-23 00:00:00","2294.9900","57.3748","France","Morangis","91420"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-23 00:00:00","2294.9900","57.3748","United Kingdom","Bury","PE17"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-23 00:00:00","2294.9900","57.3748","Germany","Stuttgart","70511"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-02-23 00:00:00","2319.9900","57.9998","United Kingdom","High Wycombe","HP10 9QY"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-23 00:00:00","2294.9900","57.3748","United States","Yakima","98901"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-23 00:00:00","2294.9900","57.3748","United States","Palo Alto","94303"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-02-23 00:00:00","2319.9900","57.9998","Canada","Victoria","V8V"
"Touring-3000 Yellow, 62","Touring Bikes","Bikes","2015-02-23 00:00:00","742.3500","18.5588","United Kingdom","London","C2H 7AU"
"Touring-3000 Yellow, 62","Touring Bikes","Bikes","2015-02-23 00:00:00","742.3500","18.5588","Germany","Grevenbroich","41485"
"Touring-2000 Blue, 60","Touring Bikes","Bikes","2015-02-23 00:00:00","1214.8500","30.3713","France","Paris","75012"
"Touring-1000 Yellow, 50","Touring Bikes","Bikes","2015-02-23 00:00:00","2384.0700","59.6018","France","Versailles","78000"
"Road-350-W Yellow, 44","Road Bikes","Bikes","2015-02-23 00:00:00","1700.9900","42.5248","Australia","Rhodes","2138"
"Road-550-W Yellow, 42","Road Bikes","Bikes","2015-02-23 00:00:00","1120.4900","28.0123","Australia","Coffs Harbour","2450"
"Road-550-W Yellow, 42","Road Bikes","Bikes","2015-02-23 00:00:00","1120.4900","28.0123","Australia","Goulburn","2580"
"Mountain-500 Black, 40","Mountain Bikes","Bikes","2015-02-23 00:00:00","539.9900","13.4998","Australia","Coffs Harbour","2450"
"Touring-1000 Blue, 60","Touring Bikes","Bikes","2015-02-23 00:00:00","2384.0700","59.6018","United States","Bellingham","98225"
"Touring-2000 Blue, 46","Touring Bikes","Bikes","2015-02-23 00:00:00","1214.8500","30.3713","United States","Burbank","91502"
"Touring-1000 Blue, 60","Touring Bikes","Bikes","2015-02-23 00:00:00","2384.0700","59.6018","United States","San Francisco","94109"
"Touring-1000 Blue, 60","Touring Bikes","Bikes","2015-02-23 00:00:00","2384.0700","59.6018","United States","Long Beach","90802"
"Road-750 Black, 44","Road Bikes","Bikes","2015-02-23 00:00:00","539.9900","13.4998","United States","Bellflower","90706"
"Road-750 Black, 48","Road Bikes","Bikes","2015-02-23 00:00:00","539.9900","13.4998","United States","Redmond","98052"
"Road-750 Black, 44","Road Bikes","Bikes","2015-02-23 00:00:00","539.9900","13.4998","Germany","Frankfurt","91480"
"Road-750 Black, 44","Road Bikes","Bikes","2015-02-23 00:00:00","539.9900","13.4998","France","Orleans","45000"
"Road-750 Black, 48","Road Bikes","Bikes","2015-02-23 00:00:00","539.9900","13.4998","United Kingdom","Billericay","CM11"
"Touring-1000 Blue, 54","Touring Bikes","Bikes","2015-02-23 00:00:00","2384.0700","59.6018","Australia","Newcastle","2300"
"Mountain-400-W Silver, 46","Mountain Bikes","Bikes","2015-02-23 00:00:00","769.4900","19.2373","Australia","Coffs Harbour","2450"
"Road-750 Black, 52","Road Bikes","Bikes","2015-02-23 00:00:00","539.9900","13.4998","Australia","Melton","3337"
"Touring-1000 Blue, 60","Touring Bikes","Bikes","2015-02-23 00:00:00","2384.0700","59.6018","Australia","Geelong","3220"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-02-22 00:00:00","2294.9900","57.3748","Germany","Erlangen","91054"
"Mountain-500 Silver, 42","Mountain Bikes","Bikes","2015-02-22 00:00:00","564.9900","14.1248","Germany","Berlin","12311"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-02-22 00:00:00","2319.9900","57.9998","Germany","Hamburg","20354"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-02-22 00:00:00","2319.9900","57.9998","Germany","Hamburg","20354"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-02-22 00:00:00","2294.9900","57.3748","United Kingdom","London","W1X3SE"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-02-22 00:00:00","2294.9900","57.3748","Germany","Sulzbach Taunus","66272"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-02-22 00:00:00","2319.9900","57.9998","France","Dunkerque","59140"
"Mountain-400-W Silver, 46","Mountain Bikes","Bikes","2015-02-22 00:00:00","769.4900","19.2373","United States","Marysville","98270"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-02-22 00:00:00","2294.9900","57.3748","Canada","Port Hammond","V6B 3P7"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-02-22 00:00:00","2319.9900","57.9998","United States","Burlingame","94010"
"Touring-3000 Blue, 54","Touring Bikes","Bikes","2015-02-22 00:00:00","742.3500","18.5588","United Kingdom","Watford","WA3"
"Touring-2000 Blue, 50","Touring Bikes","Bikes","2015-02-22 00:00:00","1214.8500","30.3713","France","Paris La Defense","92081"
"Touring-2000 Blue, 46","Touring Bikes","Bikes","2015-02-22 00:00:00","1214.8500","30.3713","United Kingdom","York","Y03 4TN"
"Road-750 Black, 52","Road Bikes","Bikes","2015-02-22 00:00:00","539.9900","13.4998","Australia","Rhodes","2138"
"Road-750 Black, 44","Road Bikes","Bikes","2015-02-22 00:00:00","539.9900","13.4998","Australia","South Melbourne","3205"
"Road-550-W Yellow, 48","Road Bikes","Bikes","2015-02-22 00:00:00","1120.4900","28.0123","Australia","Cloverdale","6105"
"Road-250 Red, 58","Road Bikes","Bikes","2015-02-22 00:00:00","2443.3500","61.0838","Australia","Goulburn","2580"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-02-22 00:00:00","2319.9900","57.9998","Australia","Melton","3337"
"Touring-1000 Blue, 50","Touring Bikes","Bikes","2015-02-22 00:00:00","2384.0700","59.6018","United States","Bellflower","90706"
"Touring-1000 Blue, 54","Touring Bikes","Bikes","2015-02-22 00:00:00","2384.0700","59.6018","United States","Santa Cruz","95062"
"Road-750 Black, 48","Road Bikes","Bikes","2015-02-22 00:00:00","539.9900","13.4998","United States","Los Angeles","90012"
"Road-550-W Yellow, 42","Road Bikes","Bikes","2015-02-22 00:00:00","1120.4900","28.0123","Canada","Haney","V2W 1W2"
"Road-550-W Yellow, 44","Road Bikes","Bikes","2015-02-22 00:00:00","1120.4900","28.0123","United Kingdom","Maidenhead","SL67RJ"
"Touring-1000 Yellow, 50","Touring Bikes","Bikes","2015-02-22 00:00:00","2384.0700","59.6018","Australia","Warrnambool","3280"
"Mountain-400-W Silver, 40","Mountain Bikes","Bikes","2015-02-22 00:00:00","769.4900","19.2373","Australia","Rockhampton","4700"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-02-21 00:00:00","2294.9900","57.3748","France","Saint Germain en Laye","78100"
