"Product","SubCategory","Category","OrderDate","SalesAmount","Freight","Country","City","PostalCode"
"Touring-1000 Blue, 54","Touring Bikes","Bikes","2015-06-29 00:00:00","2384.0700","59.6018","United Kingdom","Milton Keynes","MK8 8DF"
"Touring-3000 Blue, 58","Touring Bikes","Bikes","2015-06-29 00:00:00","742.3500","18.5588","Australia","Rhodes","2138"
"Road-750 Black, 52","Road Bikes","Bikes","2015-06-29 00:00:00","539.9900","13.4998","Australia","Newcastle","2300"
"Touring-2000 Blue, 50","Touring Bikes","Bikes","2015-06-29 00:00:00","1214.8500","30.3713","Australia","North Ryde","2113"
"Touring-1000 Blue, 54","Touring Bikes","Bikes","2015-06-28 00:00:00","2384.0700","59.6018","Australia","Darlinghurst","2010"
"Road-250 Red, 58","Road Bikes","Bikes","2015-06-28 00:00:00","2443.3500","61.0838","Germany","Paderborn","33098"
"Road-250 Black, 48","Road Bikes","Bikes","2015-06-28 00:00:00","2443.3500","61.0838","France","Les Ulis","91940"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-06-28 00:00:00","2294.9900","57.3748","France","Les Ulis","91940"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-28 00:00:00","2319.9900","57.9998","United Kingdom","London","W1N 9FA"
"Mountain-500 Black, 48","Mountain Bikes","Bikes","2015-06-28 00:00:00","539.9900","13.4998","Germany","M?nchen","80074"
"Mountain-500 Silver, 40","Mountain Bikes","Bikes","2015-06-28 00:00:00","564.9900","14.1248","France","Saint Ouen","17490"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-06-28 00:00:00","2319.9900","57.9998","United States","W. Linn","97068"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-28 00:00:00","2319.9900","57.9998","United States","Bellflower","90706"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-06-28 00:00:00","2319.9900","57.9998","United States","Grossmont","91941"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-06-28 00:00:00","2294.9900","57.3748","United States","Concord","94519"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-06-28 00:00:00","2319.9900","57.9998","United States","Spring Valley","91977"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-28 00:00:00","2319.9900","57.9998","United States","Grossmont","91941"
"Mountain-400-W Silver, 38","Mountain Bikes","Bikes","2015-06-28 00:00:00","769.4900","19.2373","United States","Marysville","98270"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-06-28 00:00:00","2319.9900","57.9998","United States","Renton","98055"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-06-28 00:00:00","2319.9900","57.9998","United States","Bellflower","90706"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-06-28 00:00:00","2319.9900","57.9998","Canada","Royal Oak","V8X"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-06-28 00:00:00","2294.9900","57.3748","United States","Ballard","98107"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-28 00:00:00","2319.9900","57.9998","United States","Daly City","94015"
"Touring-2000 Blue, 54","Touring Bikes","Bikes","2015-06-28 00:00:00","1214.8500","30.3713","Germany","Neunkirchen","66578"
"Touring-1000 Blue, 60","Touring Bikes","Bikes","2015-06-28 00:00:00","2384.0700","59.6018","Germany","Frankfurt","60323"
"Road-250 Black, 58","Road Bikes","Bikes","2015-06-28 00:00:00","2443.3500","61.0838","Australia","Sydney","1002"
"Road-550-W Yellow, 44","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","Australia","Rockhampton","4700"
"Road-550-W Yellow, 40","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","Australia","Hervey Bay","4655"
"Touring-1000 Yellow, 54","Touring Bikes","Bikes","2015-06-28 00:00:00","2384.0700","59.6018","Canada","Sooke","V0"
"Touring-1000 Yellow, 46","Touring Bikes","Bikes","2015-06-28 00:00:00","2384.0700","59.6018","United States","Woodland Hills","91364"
"Road-750 Black, 52","Road Bikes","Bikes","2015-06-28 00:00:00","539.9900","13.4998","United States","Fremont","94536"
"Road-750 Black, 48","Road Bikes","Bikes","2015-06-28 00:00:00","539.9900","13.4998","United States","Woodburn","97071"
"Road-750 Black, 52","Road Bikes","Bikes","2015-06-28 00:00:00","539.9900","13.4998","United States","San Diego","92102"
"Road-550-W Yellow, 38","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","United States","Cerritos","90703"
"Road-550-W Yellow, 42","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","United States","Lebanon","97355"
"Road-550-W Yellow, 48","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","United States","Bremerton","98312"
"Road-550-W Yellow, 40","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","United States","Yakima","98901"
"Road-550-W Yellow, 44","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","United States","San Gabriel","91776"
"Road-550-W Yellow, 42","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","Canada","Port Hammond","V6B 3P7"
"Road-350-W Yellow, 44","Road Bikes","Bikes","2015-06-28 00:00:00","1700.9900","42.5248","United States","Bremerton","98312"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-06-28 00:00:00","1700.9900","42.5248","France","Paris La Defense","92081"
"Road-550-W Yellow, 38","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","Germany","Frankfurt am Main","60061"
"Road-550-W Yellow, 42","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","France","Saint Ouen","41100"
"Road-550-W Yellow, 44","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","Germany","Bonn","53131"
"Road-550-W Yellow, 44","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","United Kingdom","Peterborough","PB12"
"Road-550-W Yellow, 42","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","United Kingdom","Lancaster","LA1 1LN"
"Road-550-W Yellow, 40","Road Bikes","Bikes","2015-06-28 00:00:00","1120.4900","28.0123","United Kingdom","York","YO15"
"Touring-1000 Blue, 54","Touring Bikes","Bikes","2015-06-28 00:00:00","2384.0700","59.6018","France","Saint Germain en Laye","78100"
"Touring-3000 Yellow, 62","Touring Bikes","Bikes","2015-06-28 00:00:00","742.3500","18.5588","Australia","Geelong","3220"
"Road-750 Black, 44","Road Bikes","Bikes","2015-06-28 00:00:00","539.9900","13.4998","Australia","Lane Cove","1597"
"Road-750 Black, 52","Road Bikes","Bikes","2015-06-28 00:00:00","539.9900","13.4998","Australia","Perth","6006"
"Mountain-500 Silver, 52","Mountain Bikes","Bikes","2015-06-27 00:00:00","564.9900","14.1248","Australia","Wollongong","2500"
"Touring-1000 Yellow, 46","Touring Bikes","Bikes","2015-06-27 00:00:00","2384.0700","59.6018","Australia","Brisbane","4000"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-06-27 00:00:00","2319.9900","57.9998","United Kingdom","Gateshead","GA10"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-06-27 00:00:00","2294.9900","57.3748","United Kingdom","Berkshire","RG11 5TP"
"Mountain-500 Black, 44","Mountain Bikes","Bikes","2015-06-27 00:00:00","539.9900","13.4998","France","Paris","75003"
"Mountain-500 Silver, 44","Mountain Bikes","Bikes","2015-06-27 00:00:00","564.9900","14.1248","France","Roissy en Brie","77680"
"Road-250 Black, 58","Road Bikes","Bikes","2015-06-27 00:00:00","2443.3500","61.0838","United States","Imperial Beach","91932"
"Road-250 Red, 58","Road Bikes","Bikes","2015-06-27 00:00:00","2443.3500","61.0838","United States","Portland","97205"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-06-27 00:00:00","2319.9900","57.9998","United States","Fremont","94536"
"Mountain-400-W Silver, 38","Mountain Bikes","Bikes","2015-06-27 00:00:00","769.4900","19.2373","United States","Daly City","94015"
"Mountain-500 Black, 42","Mountain Bikes","Bikes","2015-06-27 00:00:00","539.9900","13.4998","Canada","Cliffside","V8Y 1L1"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-27 00:00:00","2319.9900","57.9998","United States","Fremont","94536"
"Touring-3000 Blue, 44","Touring Bikes","Bikes","2015-06-27 00:00:00","742.3500","18.5588","United Kingdom","London","SW6 SBY"
"Touring-3000 Yellow, 50","Touring Bikes","Bikes","2015-06-27 00:00:00","742.3500","18.5588","Germany","Frankfurt am Main","60082"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-06-27 00:00:00","1700.9900","42.5248","Australia","Gold Coast","4217"
"Road-250 Black, 52","Road Bikes","Bikes","2015-06-27 00:00:00","2443.3500","61.0838","Australia","Lane Cove","1597"
"Road-250 Red, 58","Road Bikes","Bikes","2015-06-27 00:00:00","2443.3500","61.0838","Australia","Perth","6006"
"Road-250 Black, 58","Road Bikes","Bikes","2015-06-27 00:00:00","2443.3500","61.0838","Australia","Hawthorne","4171"
"Road-250 Black, 58","Road Bikes","Bikes","2015-06-27 00:00:00","2443.3500","61.0838","Australia","Springwood","2777"
"Mountain-400-W Silver, 42","Mountain Bikes","Bikes","2015-06-27 00:00:00","769.4900","19.2373","Australia","Caloundra","4551"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-27 00:00:00","2319.9900","57.9998","Australia","Darlinghurst","2010"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-06-27 00:00:00","2294.9900","57.3748","Australia","Sunbury","3429"
"Touring-1000 Blue, 50","Touring Bikes","Bikes","2015-06-27 00:00:00","2384.0700","59.6018","United States","Bellflower","90706"
"Road-750 Black, 52","Road Bikes","Bikes","2015-06-27 00:00:00","539.9900","13.4998","United States","Bellflower","90706"
"Road-750 Black, 58","Road Bikes","Bikes","2015-06-27 00:00:00","539.9900","13.4998","United States","Burien","98168"
"Road-750 Black, 44","Road Bikes","Bikes","2015-06-27 00:00:00","539.9900","13.4998","United States","Yakima","98901"
"Road-750 Black, 44","Road Bikes","Bikes","2015-06-27 00:00:00","539.9900","13.4998","Canada","Royal Oak","V8X"
"Road-750 Black, 48","Road Bikes","Bikes","2015-06-27 00:00:00","539.9900","13.4998","United States","San Gabriel","91776"
"Road-550-W Yellow, 48","Road Bikes","Bikes","2015-06-27 00:00:00","1120.4900","28.0123","United States","Renton","98055"
"Road-350-W Yellow, 48","Road Bikes","Bikes","2015-06-27 00:00:00","1700.9900","42.5248","United States","Colma","94014"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-06-27 00:00:00","1700.9900","42.5248","Germany","Leipzig","04139"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-06-27 00:00:00","1700.9900","42.5248","France","Paris","75006"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-06-27 00:00:00","1700.9900","42.5248","United Kingdom","York","YO15"
"Road-750 Black, 48","Road Bikes","Bikes","2015-06-27 00:00:00","539.9900","13.4998","Germany","Kassel","34117"
"Road-750 Black, 58","Road Bikes","Bikes","2015-06-27 00:00:00","539.9900","13.4998","Germany","Sulzbach Taunus","66272"
"Touring-1000 Blue, 54","Touring Bikes","Bikes","2015-06-27 00:00:00","2384.0700","59.6018","Germany","Essen","45001"
"Touring-3000 Yellow, 44","Touring Bikes","Bikes","2015-06-27 00:00:00","742.3500","18.5588","Australia","Brisbane","4000"
"Mountain-500 Black, 52","Mountain Bikes","Bikes","2015-06-26 00:00:00","539.9900","13.4998","Australia","Malabar","2036"
"Touring-1000 Yellow, 46","Touring Bikes","Bikes","2015-06-26 00:00:00","2384.0700","59.6018","Australia","Hervey Bay","4655"
"Mountain-400-W Silver, 40","Mountain Bikes","Bikes","2015-06-26 00:00:00","769.4900","19.2373","United Kingdom","York","Y03 4TN"
"Road-250 Black, 48","Road Bikes","Bikes","2015-06-26 00:00:00","2443.3500","61.0838","France","Saint-Denis","93400"
"Mountain-400-W Silver, 40","Mountain Bikes","Bikes","2015-06-26 00:00:00","769.4900","19.2373","United Kingdom","Newcastle upon Tyne","NT20"
"Mountain-400-W Silver, 46","Mountain Bikes","Bikes","2015-06-26 00:00:00","769.4900","19.2373","Germany","Ingolstadt","85049"
"Mountain-200 Black, 38","Mountain Bikes","Bikes","2015-06-26 00:00:00","2294.9900","57.3748","France","Boulogne-sur-Mer","62200"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-26 00:00:00","2319.9900","57.9998","United Kingdom","Liverpool","L4 4HB"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-06-26 00:00:00","2294.9900","57.3748","Germany","Leipzig","04139"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-26 00:00:00","2319.9900","57.9998","United States","Puyallup","98371"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-06-26 00:00:00","2294.9900","57.3748","Canada","Langley","V3A 4R2"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-26 00:00:00","2319.9900","57.9998","United States","San Carlos","94070"
"Mountain-400-W Silver, 46","Mountain Bikes","Bikes","2015-06-26 00:00:00","769.4900","19.2373","United States","Novato","94947"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-06-26 00:00:00","2294.9900","57.3748","United States","San Francisco","94109"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-26 00:00:00","2319.9900","57.9998","United States","Imperial Beach","91932"
"Mountain-200 Silver, 42","Mountain Bikes","Bikes","2015-06-26 00:00:00","2319.9900","57.9998","United States","Imperial Beach","91932"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-06-26 00:00:00","2319.9900","57.9998","Canada","Shawnee","V9B 2C3"
"Touring-3000 Yellow, 62","Touring Bikes","Bikes","2015-06-26 00:00:00","742.3500","18.5588","United Kingdom","Kirkby","KB9"
"Road-250 Black, 58","Road Bikes","Bikes","2015-06-26 00:00:00","2443.3500","61.0838","Australia","East Brisbane","4169"
"Road-550-W Yellow, 40","Road Bikes","Bikes","2015-06-26 00:00:00","1120.4900","28.0123","Australia","South Melbourne","3205"
"Road-750 Black, 44","Road Bikes","Bikes","2015-06-26 00:00:00","539.9900","13.4998","Australia","Warrnambool","3280"
"Touring-2000 Blue, 50","Touring Bikes","Bikes","2015-06-26 00:00:00","1214.8500","30.3713","United States","Issaquah","98027"
"Touring-1000 Blue, 50","Touring Bikes","Bikes","2015-06-26 00:00:00","2384.0700","59.6018","Canada","Cliffside","V8Y 1L1"
"Touring-1000 Blue, 54","Touring Bikes","Bikes","2015-06-26 00:00:00","2384.0700","59.6018","United States","Berkeley","94704"
"Touring-1000 Blue, 54","Touring Bikes","Bikes","2015-06-26 00:00:00","2384.0700","59.6018","United States","Berkeley","94704"
"Touring-1000 Blue, 54","Touring Bikes","Bikes","2015-06-26 00:00:00","2384.0700","59.6018","United States","Redwood City","94063"
"Road-750 Black, 44","Road Bikes","Bikes","2015-06-26 00:00:00","539.9900","13.4998","Canada","Shawnee","V9B 2C3"
"Road-750 Black, 48","Road Bikes","Bikes","2015-06-26 00:00:00","539.9900","13.4998","United States","Oakland","94611"
"Road-550-W Yellow, 42","Road Bikes","Bikes","2015-06-26 00:00:00","1120.4900","28.0123","United States","Bremerton","98312"
"Road-550-W Yellow, 38","Road Bikes","Bikes","2015-06-26 00:00:00","1120.4900","28.0123","Canada","Shawnee","V9B 5T2"
"Road-550-W Yellow, 40","Road Bikes","Bikes","2015-06-26 00:00:00","1120.4900","28.0123","United States","Colma","94014"
"Road-350-W Yellow, 44","Road Bikes","Bikes","2015-06-26 00:00:00","1700.9900","42.5248","United States","Grossmont","91941"
"Road-350-W Yellow, 48","Road Bikes","Bikes","2015-06-26 00:00:00","1700.9900","42.5248","United States","Palo Alto","94303"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-06-26 00:00:00","1700.9900","42.5248","Germany","Frankfurt","60323"
"Road-350-W Yellow, 40","Road Bikes","Bikes","2015-06-26 00:00:00","1700.9900","42.5248","France","Les Ulis","91940"
"Road-350-W Yellow, 42","Road Bikes","Bikes","2015-06-26 00:00:00","1700.9900","42.5248","Germany","Bottrop","46236"
"Road-750 Black, 58","Road Bikes","Bikes","2015-06-26 00:00:00","539.9900","13.4998","Germany","Ingolstadt","85049"
"Touring-1000 Blue, 60","Touring Bikes","Bikes","2015-06-26 00:00:00","2384.0700","59.6018","France","S?vres","92310"
"Touring-1000 Blue, 54","Touring Bikes","Bikes","2015-06-26 00:00:00","2384.0700","59.6018","Germany","Essen","45001"
"Road-750 Black, 58","Road Bikes","Bikes","2015-06-26 00:00:00","539.9900","13.4998","Australia","North Sydney","2055"
"Road-350-W Yellow, 48","Road Bikes","Bikes","2015-06-25 00:00:00","1700.9900","42.5248","Australia","Wollongong","2500"
"Road-250 Black, 48","Road Bikes","Bikes","2015-06-25 00:00:00","2443.3500","61.0838","United Kingdom","London","W1Y 3RA"
"Road-250 Red, 58","Road Bikes","Bikes","2015-06-25 00:00:00","2443.3500","61.0838","France","Cergy","95000"
"Road-250 Red, 58","Road Bikes","Bikes","2015-06-25 00:00:00","2443.3500","61.0838","United Kingdom","Oxford","OX1"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-06-25 00:00:00","2319.9900","57.9998","United Kingdom","Liverpool","L4 4HB"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-06-25 00:00:00","2294.9900","57.3748","Germany","Saarlouis","66740"
"Mountain-500 Black, 42","Mountain Bikes","Bikes","2015-06-25 00:00:00","539.9900","13.4998","United States","Lake Oswego","97034"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-06-25 00:00:00","2319.9900","57.9998","United States","Oregon City","97045"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-06-25 00:00:00","2319.9900","57.9998","United States","Issaquah","98027"
"Mountain-500 Black, 42","Mountain Bikes","Bikes","2015-06-25 00:00:00","539.9900","13.4998","United States","Corvallis","97330"
"Mountain-200 Silver, 38","Mountain Bikes","Bikes","2015-06-25 00:00:00","2319.9900","57.9998","United States","West Covina","91791"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-06-25 00:00:00","2294.9900","57.3748","United States","Burlingame","94010"
"Touring-2000 Blue, 60","Touring Bikes","Bikes","2015-06-25 00:00:00","1214.8500","30.3713","United Kingdom","Warrington","WA1"
"Touring-3000 Blue, 50","Touring Bikes","Bikes","2015-06-25 00:00:00","742.3500","18.5588","United Kingdom","Runcorn","TY31"
"Touring-3000 Yellow, 50","Touring Bikes","Bikes","2015-06-25 00:00:00","742.3500","18.5588","Germany","M?hlheim","63151"
"Road-250 Black, 44","Road Bikes","Bikes","2015-06-25 00:00:00","2443.3500","61.0838","Australia","Hobart","7001"
"Road-550-W Yellow, 48","Road Bikes","Bikes","2015-06-25 00:00:00","1120.4900","28.0123","Australia","Melbourne","3000"
"Mountain-200 Silver, 46","Mountain Bikes","Bikes","2015-06-25 00:00:00","2319.9900","57.9998","Australia","Perth","6006"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-06-25 00:00:00","2294.9900","57.3748","Australia","Goulburn","2580"
"Mountain-200 Black, 46","Mountain Bikes","Bikes","2015-06-25 00:00:00","2294.9900","57.3748","Australia","Cranbourne","3977"
"Mountain-200 Black, 42","Mountain Bikes","Bikes","2015-06-25 00:00:00","2294.9900","57.3748","Australia","Sydney","1002"
